Gnai3	2.321928095	2.321928095	2.321928095	1	0	1.584962501	0	0	0	0	0	1	1	1.584962501	0	0	1	1
Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mCG_18254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc45l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mCG_126584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scml2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoh	3.700439718	3.700439718	3.700439718	3.321928095	1	2.321928095	3.584962501	3.459431619	3.584962501	4.087462841	3.459431619	4.169925001	3.700439718	3.700439718	3.584962501	2.807354922	2.321928095	3
B2gp1	3.700439718	3.700439718	3.700439718	3.321928095	1	2.321928095	3.584962501	3.459431619	3.584962501	4.087462841	3.459431619	4.169925001	3.700439718	3.700439718	3.584962501	2.807354922	2.321928095	3
Narf	4.087462841	3.321928095	4.247927513	3.169925001	3.459431619	4.321928095	2.807354922	3.169925001	2.807354922	4.169925001	3.459431619	3.459431619	2.807354922	3.459431619	3.807354922	3	3.169925001	3.321928095
Cav2	3.321928095	2.807354922	3.906890596	2.584962501	2.321928095	2	2.807354922	0	2.321928095	2.321928095	2	0	0	1	1	2.584962501	2.584962501	2.807354922
Klf6	3.584962501	3.459431619	3.321928095	3	3	3	2.321928095	2.321928095	1	2.807354922	2.321928095	2.584962501	3	2.584962501	2.807354922	2.807354922	2.807354922	2.321928095
mCG_1722	3.584962501	3.459431619	3.321928095	3	3	3	2.321928095	2.321928095	1	2.807354922	2.321928095	2.584962501	3	2.584962501	2.807354922	2.807354922	2.807354922	2.321928095
Scmh1	3	2.807354922	2.321928095	1	2.321928095	3.321928095	1	2	2.584962501	1	2.321928095	3.169925001	1	1.584962501	1	0	0	2
Cox5a	6	5.781359714	6	6.022367813	6.266786541	5.64385619	4	4.906890596	5.64385619	5.209453366	4.754887502	5.247927513	5.392317423	4.95419631	5.285402219	4.584962501	5.357552005	4.857980995
Tbx2	1	2.807354922	1	2	0	2	0	0	0	0	0	0	0	0	1	1	1	0
Tbx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfy-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ngfr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mCG_19162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wnt14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fer	3.807354922	3.459431619	3.459431619	1.584962501	2.321928095	1.584962501	2.321928095	1.584962501	2	2.584962501	2.321928095	1.584962501	2.321928095	2.584962501	1	0	0	1.584962501
Fert2	3.807354922	3.459431619	3.459431619	1.584962501	2.321928095	1.584962501	2.321928095	1.584962501	2	2.584962501	2.321928095	1.584962501	2.321928095	2.584962501	1	0	0	1.584962501
Xpo6	1.584962501	3	1	1.584962501	0	0	2.321928095	0	0	0	1	0	1	1.584962501	1.584962501	0	0	0
Ranbp20	1.584962501	3	1	1.584962501	0	0	2.321928095	0	0	0	1	0	1	1.584962501	1.584962501	0	0	0
Tfe3	3.169925001	2.321928095	2.584962501	3	2	1.584962501	0	1.584962501	1.584962501	0	0	0	2.321928095	1	2.321928095	0	0	1.584962501
Axin2	2.321928095	1.584962501	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Brat1	0	0	0	0	0	0	0	0	0	0	0	1	1.584962501	0	1	0	0	0
Baat1	0	0	0	0	0	0	0	0	0	0	0	1	1.584962501	0	1	0	0	0
Gna12	4.64385619	4.459431619	4.087462841	3.321928095	4.321928095	3.459431619	2.321928095	2.584962501	3.584962501	3.169925001	3	3.700439718	2.584962501	3	3.321928095	2	3.321928095	2
Gna-12	4.64385619	4.459431619	4.087462841	3.321928095	4.321928095	3.459431619	2.321928095	2.584962501	3.584962501	3.169925001	3	3.700439718	2.584962501	3	3.321928095	2	3.321928095	2
Slc22a18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itgb2l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Igsf5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Dlat	6.285402219	5.930737338	6.392317423	5.977279923	5.906890596	6.044394119	4.906890596	5.357552005	5.285402219	5.727920455	4.807354922	5.672425342	5.426264755	5.285402219	5.426264755	4.906890596	5.727920455	5.044394119
Sdhd	5.247927513	5.087462841	5.584962501	4.392317423	5.209453366	4.700439718	3.584962501	4.247927513	4.087462841	4.584962501	3.906890596	4.169925001	4.321928095	3.459431619	3.807354922	3.459431619	4.754887502	3.700439718
Fgf23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mCG_129734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fgf-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hstf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd2	5.64385619	4.523561956	4.321928095	4.247927513	4	3.906890596	3.169925001	2.321928095	3.169925001	3.169925001	3.169925001	3.169925001	1.584962501	2	2.584962501	1	3.321928095	2.321928095
Gpr107	3.807354922	2.807354922	3.700439718	1.584962501	1.584962501	2.321928095	1.584962501	1	1	0	1	2	0	1.584962501	1	1	2	0
AI790205	3.807354922	2.807354922	3.700439718	1.584962501	1.584962501	2.321928095	1.584962501	1	1	0	1	2	0	1.584962501	1	1	2	0
